Judo, Austria, 2
Judo, Azerbaijan, 1
Judo, Belarus, 1
Judo, Belgium, 2
Judo, Brazil, 3
Judo, China, 8
Judo, Cuba, 6
Judo, East Germany, 1
Judo, France, 12
Judo, Georgia, 3
Judo, Germany, 3
Judo, Greece, 1
Judo, Hungary, 1
Judo, Italy, 3
Judo, Japan, 36
Judo, Mongolia, 1
Judo, Netherlands, 4
Judo, North Korea, 2
Judo, Poland, 3
Judo, Romania, 1
Judo, Russia, 3
Judo, Slovenia, 1
Judo, South Korea, 11
Judo, Soviet Union, 5
Judo, Spain, 3
Judo, Switzerland, 1
Judo, Turkey, 1
Judo, Unified Team, 2
Judo, United States, 1
Judo, West Germany, 1
archery, Australia, 1
archery, China, 1
archery, Finland, 1
archery, France, 1
archery, Italy, 2
archery, South Korea, 19
archery, Soviet Union, 1
archery, Spain, 1
archery, Ukraine, 1
archery, United States, 8
athletics, Algeria, 4
athletics, Argentina, 2
athletics, Australia, 18
athletics, Austria, 1
athletics, Bahamas, 3
athletics, Belarus, 4
athletics, Belgium, 3
athletics, Brazil, 4
athletics, Bulgaria, 5
athletics, Burundi, 1
athletics, Cameroon, 2
athletics, Canada, 9
athletics, China, 4
athletics, Croatia, 1
athletics, Cuba, 10
athletics, Czech Republic, 5
athletics, Czechoslovakia, 9
athletics, Dominican Republic, 2
athletics, East Germany, 38
athletics, Ecuador, 1
athletics, Estonia, 2
athletics, Ethiopia, 12
athletics, Finland, 31
athletics, France, 14
athletics, Germany, 16
athletics, Great Britain, 41
athletics, Greece, 6
athletics, Grenada, 1
athletics, Hungary, 10
athletics, Ireland, 4
athletics, Italy, 14
athletics, Jamaica, 14
athletics, Japan, 7
athletics, Kazakhstan, 2
athletics, Kenya, 22
athletics, Lithuania, 3
athletics, Luxembourg, 1
athletics, Mexico, 3
athletics, Morocco, 4
athletics, Mozambique, 1
athletics, Netherlands, 5
athletics, New Zealand, 10
athletics, Nigeria, 1
athletics, Norway, 6
athletics, Panama, 1
athletics, Poland, 22
athletics, Portugal, 3
athletics, Romania, 11
athletics, Russia, 24
athletics, Slovenia, 1
athletics, South Africa, 6
athletics, South Korea, 1
athletics, Soviet Union, 57
athletics, Spain, 2
athletics, Sr., 1
athletics, Sweden, 14
athletics, Syria, 1
athletics, Trinidad and Tobago, 2
athletics, Tunisia, 1
athletics, Turkey, 1
athletics, Uganda, 2
athletics, Ukraine, 2
athletics, Unified Team, 7
athletics, United States, 264
athletics, United Team of Germany, 2
athletics, West Germany, 12
badminton, China, 16
badminton, Denmark, 1
badminton, Indonesia, 6
badminton, South Korea, 6
boxing, Algeria, 1
boxing, Argentina, 7
boxing, Belgium, 1
boxing, Bulgaria, 4
boxing, Canada, 3
boxing, China, 3
boxing, Cuba, 34
boxing, Czechoslovakia, 3
boxing, Denmark, 1
boxing, Dominican Republic, 1
boxing, East Germany, 5
boxing, Finland, 2
boxing, France, 4
boxing, Germany, 5
boxing, Great Britain, 17
boxing, Hungary, 10
boxing, Ireland, 2
boxing, Italy, 15
boxing, Japan, 2
boxing, Jr., 1
boxing, Kazakhstan, 6
boxing, Kenya, 1
boxing, Mexico, 2
boxing, Mongolia, 1
boxing, Netherlands, 1
boxing, New Zealand, 1
boxing, North Korea, 2
boxing, Norway, 1
boxing, Poland, 8
boxing, Romania, 1
boxing, Russia, 9
boxing, South Africa, 6
boxing, South Korea, 3
boxing, Soviet Union, 14
boxing, Thailand, 4
boxing, Ukraine, 4
boxing, United States, 41
boxing, Uzbekistan, 1
boxing, Venezuela, 1
boxing, West Germany, 1
boxing, Yugoslavia, 3
canoeing, Bulgaria, 2
canoeing, Canada, 1
canoeing, Czech Republic, 3
canoeing, Czechoslovakia, 1
canoeing, Denmark, 1
canoeing, East Germany, 8
canoeing, Finland, 1
canoeing, France, 4
canoeing, Germany, 11
canoeing, Hungary, 8
canoeing, Italy, 1
canoeing, New Zealand, 1
canoeing, Romania, 1
canoeing, Russia, 1
canoeing, Slovakia, 4
canoeing, Soviet Union, 10
canoeing, Sweden, 3
canoeing, Ukraine, 2
canoeing, West Germany, 1
cycling, Australia, 10
cycling, Austria, 1
cycling, Belgium, 6
cycling, Colombia, 1
cycling, Czech Republic, 1
cycling, Czechoslovakia, 1
cycling, Denmark, 5
cycling, East Germany, 3
cycling, France, 27
cycling, Germany, 6
cycling, Great Britain, 15
cycling, Greece, 1
cycling, Italy, 22
cycling, Kazakhstan, 1
cycling, Latvia, 2
cycling, Netherlands, 12
cycling, New Zealand, 1
cycling, Norway, 2
cycling, Russia, 2
cycling, Soviet Union, 8
cycling, Spain, 4
cycling, Sweden, 2
cycling, Switzerland, 2
cycling, United States, 9
cycling, Walter Pérez, 1
cycling, West Germany, 2
diving, Australia, 3
diving, China, 9
diving, Czechoslovakia, 1
diving, Denmark, 1
diving, East Germany, 2
diving, Germany, 1
diving, Italy, 3
diving, Mexico, 1
diving, Russia, 1
diving, Soviet Union, 1
diving, Sweden, 6
diving, United States, 22
equestrian, Australia, 6
equestrian, Austria, 1
equestrian, Belgium, 5
equestrian, Brazil, 1
equestrian, Canada, 2
equestrian, Czechoslovakia, 1
equestrian, France, 13
equestrian, Germany, 35
equestrian, Great Britain, 9
equestrian, Italy, 7
equestrian, Japan, 1
equestrian, Mexico, 2
equestrian, Netherlands, 10
equestrian, New Zealand, 3
equestrian, Poland, 1
equestrian, Soviet Union, 6
equestrian, Spain, 1
equestrian, Sweden, 17
equestrian, Switzerland, 5
equestrian, United States, 11
equestrian, West Germany, 4
gymnastics, Canada, 1
gymnastics, China, 5
gymnastics, Czechoslovakia, 2
gymnastics, Finland, 1
gymnastics, France, 1
gymnastics, Germany, 2
gymnastics, Italy, 4
gymnastics, Japan, 5
gymnastics, Romania, 2
gymnastics, Russia, 3
gymnastics, Soviet Union, 12
gymnastics, Sweden, 1
